tratamento,1A,1B,1C,1D,1E,1F,2A,2B,2C,2D,2E,2F,3A,3B,3C,3D,3E,3F,4A,4B,4C,4D,4E,4F,5A,5B,5C,5D,5E,5F,6A,6B,6C,6D,6E,6F,7A,7B,7C,7D,7E,7F,8A,8B,8C,8D,8E,8F,9A,9B,9C,9D,9E,9F,1G,1H,1I,1J,2G,2H,2I,2J,3G,3H,3I,3J,4G,4H,4I,4J,6G,6H,6I,6J,5G,5H,5I,5J,8G,8H,8I,8J,7G,7H,7I,7J,9G,9H,9I,9J
4,,,,,,,,,,,,,,,,,,,Fully disagree,"O problema não se deve ao número de argumentos, mas ao limite populacional",automatically,"O problema não deverá ocorrer com o simples ato de definir um valor, este valor precisa estar fora do intervalo adequado.",automatically,O teste é genérico para o iterator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,é possivel identificar o objetivo do teste e as funções utilizadas por este,Code D,"Usaria o código D para facilitar a manutenção, para ter uma compreensão facilitada da cobertura e para reutilizar funções, quando possível.",,,,,,,,,,,,,,,,,,,,
1,Partially disagree,O nome poderia ser mais simples.,manually,"Normalmente meus testes começo pela palavra test, não que seja obrigatorio, mas gosto de coloca a função do métodos testado nos nomes dos testes",manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Neither,,automatically,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Partially agree,,manually,"Pois, indica que está sendo esperado que uma exceção ocorra, a opção automatically dá a sensação que a operação será bem sucedida e apenas test é totalmente não-descritivo do que está sendo feito no método.",manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"O fato de cada método possuir um objetivo específcio, além de um nome bem definido e claro do que está sendo feito e do que é esperado.",Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,Partially agree,Ele testa baseado num comparador um exception,manually,Parece o mais apropriado pelo que foi visto no codigo,automatically,O codigo se refere a isso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Mais bem separado,Code D,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,O método verifica se os elemento não são null. Prefiro que os nomes descrevam o que é testado.,manually,"Apesar da primeira opção ser muito descritiva, prefiro algo mais legível na ide. A descrição completa deve pertencer a documentação.",automatically,Ainda acho a primeira opção muito grande. Mas acho melhor que a última opção. Descreve melhor ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Possuem funções menores e descrevendo bem cada teste pelo nome. Mesmo sem entender o código, a última opaco já orienta bem o que cada coisa faz.",Code D,"Apesar dos testes repetirem códigos, prefiro os testes separados. Em caso de adição de mais linhas de teste para testar um cenário específico, fica mais fácil a adição, sem se preocupar com os outros cenários que já existem. Óbvio que perdemos o cenário onde um teste depende da alteração de outro teste, já que sempre os objetos são instanciados em cada teste, mas isso depende do projeto e de como a solução precisa ser testada. É algo específico de cada projeto ",,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same readability,,Code A,,,,,,,,,
3,,,,,,,,,,,,,Partially disagree,"Não menciona o que está sendo comparado, nem o objetivo do teste",manually,Cita o resultado e o que o causou,manually,O teste verifica se um dado objeto já existe ou é null no grupo existente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,É o que possui os testes mais descritivos,Code D,É a classe mais completa é mais fácil de refatorar caso seja necessários ajustes de detalhes,,,,,,,,,,,,,,,,,,,,,,,,
1,Partially disagree,"Gosto do uso de ""_"" entre o nome do método testado e o que é o teste ",automatically,,automatically,Tem o nome do método testado informado no nome do teste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code C,,Code C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Partially disagree,"Acho mais descritivo quando informa a ação realizada e o  que é esperado no teste, por exemplo, algo próximo disso testFailsToCreateElitisticListPopulationTakingNotPositivePopulationThrowsException.",automatically,,manually,O nome informa o objeto do teste e o que é espero do teste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Mais modularizado, separando um teste para cada método e bem nomeado.",Code D,Mais legível e modularizado. Achei melhor um teste para cada método.,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,
2,,,,,,,Fully disagree,"O fato de o teste ser auto gerado ja é confuso o suficente para entendimento ""superficial"", se o nome do teste também é não descritivo pior ainda mais.",manually,Testes devem ter nomes mais descritivos possível e/ou documentado o suficiente.,manually,É o que possui o nome mais bem descrito dentre as 3 opções.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"So o fator legibilidade ja fala por si só. Fui pelo raciocínio de ""Qual test me passa mais informação sem eu precisar nem saber do que se trata o negócio?"". Sem dúvidas seria a letra (D) pois so o fato de nomear os tests com ""logica de negocio"" ja ajudou muito no fluxo de leitura.",Other,"Não acho que tests unitários auto gerados são eficientes, acho que testes devem ser feitos manualmente com auxilio de ferramentas (e.g. coverage) onde mostra apenas casos que o programador não tenha pensado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,Nomenclatura muito genérica que não descreve o que está sendo testado.,manually,test -> não especifica o que está sendo testado. automatically -> o teste não deve falhar apenas por passar 3 argumentos para o construtor.,automatically,automatically acredito que tenha mais chance de passar pela linha 89 por especificar o tipo da exception lançada. Porém é um nome super confuso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O nome refatorado ajuda a entender o objetivo do teste já que a legibilidade do código do teste não é boa.,Other,"Embora os nomes ajudem a identificar o propósito do teste, o corpo do teste não é de fácil leitura. Identificar possíveis falhas e dar manutenção nesses testes seria custoso, o que inviabiliza seu uso.",,,,,,,,,,,,
1,Partially disagree,O nome do teste deveria ser mais neutro. Falar sobre os valores nulos deixou focado nisso,automatically,O nome do teste ficou genérico e claro.,automatically,"A resposta mais padronizada das 3, pois as demais são inadequadas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"O D está mais completo, coeso e claro de ler.",Code D,Código que realiza testes mais abrangentes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code B,,Code B,,,,,,,,,
2,,,,,,,Partially agree,"Apesar do nome ser apropriado as duas funcionalidades sendo testadas poderiam ser colocadas em casos de teste diferentes. Assim, os nomes dos testes poderiam ser mais descritivos.",manually,,manually,É o nome de teste mais descritivo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Os test no código D têm nomes que indicam o que está sendo testado. Além disso, cada funcionalidade do objeto sendo testado foi extraída para uma unidade de teste diferente.",Code D,Esse trecho de código contém mais informações sobre o que está sendo testado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Partially disagree,"o teste precisa testar um trecho de código pequeno, se você está testando muita coisa num único teste que precise de uma nomenclatura tão grande, é sinal que tem espaço para refatoramento",automatically,"Apenas pelo nome do teste, você consegue descrever qual o teste está sendo feito, de forma simples e direta.",automatically,É um teste exclusivamente de tratamento de exceção.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Mais modularizado e facilita o entendimento do código.,Code D,Tem uma maior cobertura dos métodos criados na classe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,"O nome do teste está apenas ""test"". Caso o teste falhe não vai ser fácil identificar qual parte do código está com problemas. O nome do teste deve ser bem descritivo do que está sendo testado para facilitar a manutenção.",manually,o terceiro nome traz informações irrelevantes na descrição e fica muito grande sem necessidade.,automatically,nenhum dos 3 descreve bem o teste. Seria algo como throwExceptionIfElistismRateIsOutOfRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"O código D apresenta testes bem descritos e divididos. As opções A e C fazem muitas atividades no mesmo teste, isso dificulta leitura e manutenção, além de gerar erros que podem não fazer parte do escopo do teste. Já o código B não descreve o que acontece internamente.",Code D,"Só analisando os títulos, eu seguiria essa estrutura, mas não analisei o código.",,,,,,,,,,,,
3,,,,,,,,,,,,,Partially agree,"Acho que o nome está bom, o teste faz o que ele se propõe a fazer.",automatically,Descerve melhor o que o teste faz,manually,Porque position só fica null se não tiver nenhum objeto igual no Set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Os testes estão melhor separados e com titulos relevantes.,Code D,Mesma resposta do item anterior.,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Partially disagree,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Melhor divisão dos casos de teste assim como nomenclatura do que está testando.,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Partially disagree,O nome do teste não é legivel,manually,A leitura do nome do metodo é de fácil compreensão,manually,A leitura do nome do metodo é de fácil compreensão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,A leitura do nome do metodo é de fácil compreensão,Code D,A leitura do nome do metodo é de fácil compreensão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,"O nome de automatically não é sugestivo, ele não nos deixa claro o que exatamente está sendo testado no código.",automatically,O nome escolhido apesar de gigantesco ele deixa bem claro para o desenvolvedor o que está sendo testado e qual possível erro será lançado no caso do valor da população não ser positivo.,automatically,"Por que o erro da linha 89 lança uma exceção similar ao nome de teste apresentado que é:
OutOfRangeException",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Possui código identado, melhor estruturado e os métodos possuem nomes mais sugestivos.",Code D,Por ser o código mais legível,,,,,,,,,,,,
2,,,,,,,Fully disagree,,manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Partially agree,,manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O nome dos testes facilita o entendimento.,Code D,Pela legibilidade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,o nome do teste deveria ser baseado na sua fun��o e objetivo de teste,automatically,o nome esta associado com a a��o a qual o teste esta aplicando e verificando,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Gosto quando a a��o de chamada do teste � feito nele mesmo, assim fica concetrado tudo que tenho que fazer em blocos de testes diferentes, na minha opini�o fica mais organizado",Code D,Organiza��o e legibilidade
1,Neither,,automatically,the other one is too big,manually,The shorter testname is simpler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
